title,combined_text,release_year,voting
Resident Evil,"Horror Action ScienceFictionundercover mutant dystopia conspiracy zombie basedonvideogameW h e n   a   v i r u s   l e a k s   f r o m   a   t o p - s e c r e t   f a c i l i t y ,   t u r n i n g   a l l   r e s i d e n t   r e s e a r c h e r s   i n t o   r a v e n o u s   z o m b i e s   a n d   t h e i r   l a b   a n i m a l s   i n t o   m u t a t e d   h o u n d s   f r o m   h e l l ,   t h e   g o v e r n m e n t   s e n d s   i n   a n   e l i t e   m i l i t a r y   t a s k   f o r c e   t o   c o n t a i n   t h e   o u t b r e a k .   A l i c e   a n d   R a i n   a r e   c h a r g e d   w i t h   l e a d i n g   t h e   m i s s i o n .   B u t   t h e y   o n l y   h a v e   t h r e e   h o u r s   b e f o r e   t h e   p a t h o g e n   b e c o m e s   a i r b o r n e   a n d   i n f e c t s   t h e   w o r l d . 2002",2002,6.4
Max Payne,"Actionassassin basedonvideogame aftercreditsstingerC o m i n g   t o g e t h e r   t o   s o l v e   a   s e r i e s   o f   m u r d e r s   i n   N e w   Y o r k   C i t y   a r e   a   D E A   a g e n t   w h o s e   f a m i l y   w a s   s l a i n   a s   p a r t   o f   a   c o n s p i r a c y   a n d   a n   a s s a s s i n   o u t   t o   a v e n g e   h e r   s i s t e r ' s   d e a t h .   T h e   d u o   w i l l   b e   h u n t e d   b y   t h e   p o l i c e ,   t h e   m o b ,   a n d   a   r u t h l e s s   c o r p o r a t i o n . 2008",2008,5.2
In Time,"Action Thriller ScienceFictionbank future time dystopia raceagainsttime immortality ontherun classdifferences copsandrobbers  richvspoorI n   t h e   n o t - t o o - d i s t a n t   f u t u r e   t h e   a g i n g   g e n e   h a s   b e e n   s w i t c h e d   o f f .   T o   a v o i d   o v e r p o p u l a t i o n ,   t i m e   h a s   b e c o m e   t h e   c u r r e n c y   a n d   t h e   w a y   p e o p l e   p a y   f o r   l u x u r i e s   a n d   n e c e s s i t i e s .   T h e   r i c h   c a n   l i v e   f o r e v e r ,   w h i l e   t h e   r e s t   t r y   t o   n e g o t i a t e   f o r   t h e i r   i m m o r t a l i t y .   A   p o o r   y o u n g   m a n   w h o   c o m e s   i n t o   a   f o r t u n e   o f   t i m e ,   t h o u g h   t o o   l a t e   t o   h e l p   h i s   m o t h e r   f r o m   d y i n g .   H e   e n d s   u p   o n   t h e   r u n   f r o m   a   c o r r u p t   p o l i c e   f o r c e   k n o w n   a s   ' t i m e   k e e p e r s ' . 2011",2011,6.7
The Back-Up Plan,"Comedy Romancekiss spermbank romanticcomedy malefemalerelationship doctor pregnancy singlemother artificialinsemination motherhood duringcreditsstingerW h e n   Z o e   t i r e s   o f   l o o k i n g   f o r   M r .   R i g h t ,   s h e   d e c i d e s   t o   h a v e   a   b a b y   o n   h e r   o w n .   B u t   o n   t h e   d a y   s h e ' s   a r t i f i c i a l l y   i n s e m i n a t e d ,   s h e   m e e t s   S t a n ,   w h o   s e e m s   t o   b e   j u s t   w h o   s h e ' s   b e e n   s e a r c h i n g   f o r   a l l   h e r   l i f e .   N o w ,   Z o e   h a s   t o   f i g u r e   o u t   h o w   t o   m a k e   h e r   t w o   l i f e ' s   d r e a m s   f i t   w i t h   e a c h   o t h e r . 2010",2010,5.7
Something Borrowed,"Comedy Drama Romancenewyork alcohol basedonnovel secret cheating birthday destroy friends crush lawyer bestfriend wedding pregnancy relationship celebration roses lying flashback engaged loyal liaison confidantT h o u g h   R a c h e l   ( G i n n i f e r   G o o d w i n )   i s   a   s u c c e s s f u l   a t t o r n e y   a n d   a   l o y a l ,   g e n e r o u s   f r i e n d ,   s h e   i s   s t i l l   s i n g l e .   A f t e r   o n e   d r i n k   t o o   m a n y   a t   h e r   3 0 t h - b i r t h d a y   c e l e b r a t i o n ,   R a c h e l   u n e x p e c t e d l y   f a l l s   i n t o   b e d   w i t h   h e r   l o n g t i m e   c r u s h ,   D e x   - -   w h o   h a p p e n s   t o   b e   e n g a g e d   t o   h e r   b e s t   f r i e n d ,   D a r c y   ( K a t e   H u d s o n ) .   R a m i f i c a t i o n s   o f   t h e   l i a i s o n   t h r e a t e n   t o   d e s t r o y   t h e   w o m e n ' s   l i f e l o n g   f r i e n d s h i p ,   w h i l e   E t h a n   ( J o h n   K r a s i n s k i ) ,   R a c h e l ' s   c o n f i d a n t ,   h a r b o r s   a   p o t e n t i a l l y   e x p l o s i v e   s e c r e t   o f   h i s   o w n . 2011",2011,5.9
The Pianist,Drama Warindividual resistance radiostation warcrimes lossoffamily childmurderer hunger worldwarii prisonersofwar homeland deportation hidingplace ghettoriot jewpersecution liberation warsawghetto polishresistance nazis biography classicalmusic panzer pianistT h e   P i a n i s t   i s   a   f i l m   a d a p t e d   f r o m   t h e   b i o g r a p h y   o f   W l a d y s l a w   S z p i l m a n .   A   J e w i s h - P o l i s h   p i a n i s t   w h o   d u r i n g   t h e   s e c o n d   w o r l d   w a r   l i v e d   a n d   h i d   m i r a c u l o u s l y   i n   W a r s a w   a f t e r   h a v i n g   g o n e   t h r o u g h   a   t e r r i b l e   t r a g e d y .   A   f i l m   f r o m   R o m a n   P o l a n s k i . 2002,2002,8.0
J. Edgar,"Drama Crime Historybiography historicalfigure fbidirectorA s   t h e   f a c e   o f   l a w   e n f o r c e m e n t   i n   A m e r i c a   f o r   a l m o s t   5 0   y e a r s ,   J .   E d g a r   H o o v e r   w a s   f e a r e d   a n d   a d m i r e d ,   r e v i l e d   a n d   r e v e r e d .   B u t   b e h i n d   c l o s e d   d o o r s ,   h e   h e l d   s e c r e t s   t h a t   w o u l d   h a v e   d e s t r o y e d   h i s   i m a g e ,   h i s   c a r e e r   a n d   h i s   l i f e . 2011",2011,6.0
Untraceable,"Dramasuicide fbi kidnapping snuff sadism investigation police psychopath webcam website murder serialkiller internet torture violence voyeurS p e c i a l   A g e n t   J e n n i f e r   M a r s h   ( D i a n e   L a n e )   w o r k s   i n   a n   e l i t e   d i v i s i o n   o f   t h e   F B I   d e d i c a t e d   t o   f i g h t i n g   c y b e r c r i m e .   S h e   t h i n k s   s h e   h a s   s e e n   i t   a l l ,   u n t i l   a   p a r t i c u l a r l y   s a d i s t i c   c r i m i n a l   a r i s e s   o n   t h e   I n t e r n e t .   T h i s   t e c h - s a v v y   k i l l e r   p o s t s   l i v e   f e e d s   o f   h i s   c r i m e s   o n   h i s   w e b s i t e ;   t h e   m o r e   h i t s   t h e   s i t e   g e t s ,   t h e   f a s t e r   t h e   v i c t i m   d i e s .   M a r s h   a n d   h e r   t e a m   m u s t   f i n d   t h e   e l u s i v e   k i l l e r   b e f o r e   t i m e   r u n s   o u t . 2008",2008,5.9
Nanny McPhee and the Big Bang,"Comedy Fantasynanny fantasy children aftercreditsstinger duringcreditsstinger womandirectorN a n n y   M c P h e e   a p p e a r s   a t   t h e   d o o r   o f   a   h a r r i e d   y o u n g   m o t h e r ,   M r s .   I s a b e l   G r e e n ,   w h o   i s   t r y i n g   t o   r u n   t h e   f a m i l y   f a r m   w h i l e   h e r   h u s b a n d   i s   a w a y   a t   w a r .   B u t   o n c e   s h e ’ s   a r r i v e d ,   N a n n y   M c P h e e   d i s c o v e r s   t h a t   t h e   c h i l d r e n   a r e   f i g h t i n g   a   w a r   o f   t h e i r   o w n   a g a i n s t   t w o   s p o i l e d   c i t y   c o u s i n s   w h o   h a v e   j u s t   m o v e d   i n .   R e l y i n g   o n   e v e r y t h i n g   f r o m   a   f l y i n g   m o t o r c y c l e   a n d   a   s t a t u e   t h a t   c o m e s   t o   l i f e   t o   a   t r e e - c l i m b i n g   p i g l e t   a n d   a   b a b y   e l e p h a n t ,   N a n n y   u s e s   h e r   m a g i c   t o   t e a c h   h e r   m i s c h i e v o u s   c h a r g e s   f i v e   n e w   l e s s o n s . 2010",2010,6.0
Ella Enchanted,"Family Fantasy Comedyelves basedonnovel magic fairy prince fairytale spell fantasyworld giant ogre obedience fairygodmother elfE l l a   l i v e s   i n   a   m a g i c a l   w o r l d   i n   w h i c h   e a c h   c h i l d ,   a t   t h e   m o m e n t   o f   t h e i r   b i r t h ,   i s   g i v e n   a   v i r t u o u s   "" g i f t ""   f r o m   a   f a i r y   g o d m o t h e r .   E l l a ' s   s o - c a l l e d   g i f t ,   h o w e v e r ,   i s   o b e d i e n c e .   T h i s   b i r t h r i g h t   p r o v e s   i t s e l f   t o   b e   q u i t e   t h e   c u r s e   o n c e   E l l a   f i n d s   h e r s e l f   i n   t h e   h a n d s   o f   s e v e r a l   u n s c r u p u l o u s   c h a r a c t e r s   w h o m   s h e   q u i t e   l i t e r a l l y   c a n n o t   d i s o b e y .   D e t e r m i n e d   t o   g a i n   c o n t r o l   o f   h e r   l i f e   a n d   d e c i s i o n s ,   E l l a   s e t s   o f f   o n   a   j o u r n e y   t o   f i n d   h e r   f a i r y   g o d m o t h e r   w h o   s h e   h o p e s   w i l l   l i f t   t h e   c u r s e .   T h e   p a t h ,   h o w e v e r ,   i s n ' t   e a s y   - -   E l l a   m u s t   o u t w i t   a   s l e w   o f   u n p l e a s a n t   o b s t a c l e s   i n c l u d i n g   o g r e s ,   g i a n t s ,   w i c k e d   s t e p s i s t e r s ,   e l v e s   a n d   P r i n c e   C h a r m o n t ' s   e v i l   u n c l e ,   w h o   w a n t s   t o   t a k e   o v e r   t h e   c r o w n   a n d   r u l e   t h e   k i n g d o m . 2004",2004,5.9
Concussion,"Dramaamericanfootball concussion biography professionalsports braindamage sportsinjury nfl medicaldrama humanbrainA   d r a m a t i c   t h r i l l e r   b a s e d   o n   t h e   i n c r e d i b l e   t r u e   D a v i d   v s .   G o l i a t h   s t o r y   o f   A m e r i c a n   i m m i g r a n t   D r .   B e n n e t   O m a l u ,   t h e   b r i l l i a n t   f o r e n s i c   n e u r o p a t h o l o g i s t   w h o   m a d e   t h e   f i r s t   d i s c o v e r y   o f   C T E ,   a   f o o t b a l l - r e l a t e d   b r a i n   t r a u m a ,   i n   a   p r o   p l a y e r   a n d   f o u g h t   f o r   t h e   t r u t h   t o   b e   k n o w n .   O m a l u ' s   e m o t i o n a l   q u e s t   p u t s   h i m   a t   d a n g e r o u s   o d d s   w i t h   o n e   o f   t h e   m o s t   p o w e r f u l   i n s t i t u t i o n s   i n   t h e   w o r l d . 2015",2015,7.0
Abduction,Thriller Action Mysterycia airport hero fight kidnapping timebomb training webcam website party ontherun hospital train teenagerA   y o u n g   m a n   s e t s   o u t   t o   u n c o v e r   t h e   t r u t h   a b o u t   h i s   l i f e   a f t e r   f i n d i n g   h i s   b a b y   p h o t o   o n   a   m i s s i n g   p e r s o n s   w e b s i t e . 2011,2011,5.6
Broken City,"Thriller Crime Dramamayor investigation politics ex-cop revenge doublecrossed privatedetectiveI n   a   b r o k e n   c i t y   r i f e   w i t h   i n j u s t i c e ,   e x - c o p   B i l l y   T a g g a r t   s e e k s   r e d e m p t i o n   a n d   r e v e n g e   a f t e r   b e i n g   d o u b l e - c r o s s e d   a n d   t h e n   f r a m e d   b y   i t s   m o s t   p o w e r f u l   f i g u r e ,   t h e   m a y o r .   B i l l y ' s   r e l e n t l e s s   p u r s u i t   o f   j u s t i c e ,   m a t c h e d   o n l y   b y   h i s   s t r e e t w i s e   t o u g h n e s s ,   m a k e s   h i m   a n   u n s t o p p a b l e   f o r c e   -   a n d   t h e   m a y o r ' s   w o r s t   n i g h t m a r e . 2013",2013,5.7
Premium Rush,"Crime Action Thrillernewyork dirtycop bicyclecourier duringcreditsstinger raceagainsttheclock cyclist bikemessengerI n   M a n h a t t a n ,   a   b i k e   m e s s e n g e r   p i c k s   u p   a n   e n v e l o p e   t h a t   a t t r a c t s   t h e   i n t e r e s t   o f   a   d i r t y   c o p ,   w h o   p u r s u e s   t h e   c y c l i s t   t h r o u g h o u t   t h e   c i t y . 2012",2012,6.2
Furry Vengeance,"Comedybear animal aftercreditsstinger duringcreditsstinger realestate landdeveloper realestatedeveloperW h e n   r e a l   e s t a t e   d e v e l o p e r   D a n   S a n d e r s   f i n a l i z e s   p l a n s   t o   l e v e l   a   s w a t h   o f   p r i s t i n e   O r e g o n   f o r e s t   t o   m a k e   w a y   f o r   a   s o u l l e s s   h o u s i n g   s u b d i v i s i o n ,   a   b a n d   o f   w o o d l a n d   c r e a t u r e s   r i s e s   u p   t o   t h r o w   a   m o n k e y   w r e n c h   i n t o   t h e   g r e e d y   s c h e m e .   J u s t   h o w   m u c h   m i s c h i e f   f r o m   t h e   f u r r y   c r i t t e r s   c a n   t h e   b u s i n e s s m a n   t a k e   b e f o r e   h e   c a l l s   i t   q u i t s ? 2010",2010,4.6
Walk Hard: The Dewey Cox Story,Comedy Musicmusicrecord rockandroll pop hip-hop fabfour blues popstar rapper recordproducer rock music musicinstrument wedding extramaritalaffair aftercreditsstingerS i n g e r   D e w e y   C o x   o v e r c o m e s   a d v e r s i t y   t o   b e c o m e   a   m u s i c a l   l e g e n d . 2007,2007,6.6
The Young Victoria,"Drama History Romanceroyalfamily biography royalty perioddrama queenvictoria princealbert 19thcentury britishmonarchyF r o m   A c a d e m y   A w a r d ®   w i n n e r s   G r a h a m   K i n g   a n d   M a r t i n   S c o r s e s e ,   a l o n g   w i t h   t h e   m a k e r s   o f   G o s f o r d   P a r k   a n d   T h e   D e p a r t e d ,   c o m e s   t h e   s t o r y   o f   Q u e e n   V i c t o r i a ’ s   e a r l y   r i s e   t o   p o w e r .   F r o m   a n   o b j e c t   o f   a   r o y a l   p o w e r - s t r u g g l e   t o   h e r   r o m a n t i c   c o u r t s h i p   a n d   l e g e n d a r y   m a r r i a g e   t o   P r i n c e   A l b e r t ,   E m i l y   B l u n t   ( T h e   D e v i l   W e a r s   P r a d a )   g i v e s   a   s t u n n i n g   p e r f o r m a n c e   a s   t h e   y o u n g   V i c t o r i a .   P a c k e d   w i t h   d r a m a ,   r o m a n c e ,   b r e a t h - t a k i n g   c i n e m a t o g r a p h y ,   l a v i s h   c o s t u m e s   a n d   f e a t u r i n g   a n   o u t s t a n d i n g   B r i t i s h   c a s t   i n c l u d i n g   J i m   B r o a d b e n t ,   H a r r i e t   W a l t e r ,   M a r k   S t r o n g ,   P a u l   B e t t a n y ,   M i r a n d a   R i c h a r d s o n ,   a n d   R u p e r t   F r i e n d ,   T h e   Y o u n g   V i c t o r i a   h a s   c a p t i v a t e d   B r i t i s h   a u d i e n c e s ,   a n d   i s   t h e   f i l m   t h a t   C o m p a n y   m a g a z i n e   c a l l e d   “ a n   e p i c   B r i t i s h   f i l m ,   w h i c h   w i l l   s w e e p   y o u   u p   i n   h e r   r e m a r k a b l e   s t o r y . ” 2009",2009,7.0
Whiteout,"Action Crime Mystery Thrillerairplane basedoncomicbook corpse stichT h e   o n l y   U . S .   M a r s h a l   a s s i g n e d   t o   A n t a r c t i c a ,   C a r r i e   S t e t k o   w i l l   s o o n   l e a v e   t h e   h a r s h   e n v i r o n m e n t   b e h i n d   f o r   g o o d   –   i n   t h r e e   d a y s ,   t h e   s u n   w i l l   s e t   a n d   t h e   A m u n d s e n - S c o t t   R e s e a r c h   S t a t i o n   w i l l   s h u t   d o w n   f o r   t h e   l o n g   w i n t e r .   W h e n   a   b o d y   i s   d i s c o v e r e d   o u t   o n   t h e   o p e n   i c e ,   C a r r i e ' s   i n v e s t i g a t i o n   i n t o   t h e   c o n t i n e n t ' s   f i r s t   h o m i c i d e   p l u n g e s   h e r   d e e p   i n t o   a   m y s t e r y   t h a t   m a y   c o s t   h e r   h e r   o w n   l i f e . 2009",2009,5.3
The Tree of Life,"Drama Fantasyphilosophy fathersonrelationship redhair brothersisterrelationship sun telegram tree meteor afterlife deathofachild independentfilm spirituality outerspace dinosaur voiceover verylittledialogue tarkovskyesqueT h e   i m p r e s s i o n i s t i c   s t o r y   o f   a   T e x a s   f a m i l y   i n   t h e   1 9 5 0 s .   T h e   f i l m   f o l l o w s   t h e   l i f e   j o u r n e y   o f   t h e   e l d e s t   s o n ,   J a c k ,   t h r o u g h   t h e   i n n o c e n c e   o f   c h i l d h o o d   t o   h i s   d i s i l l u s i o n e d   a d u l t   y e a r s   a s   h e   t r i e s   t o   r e c o n c i l e   a   c o m p l i c a t e d   r e l a t i o n s h i p   w i t h   h i s   f a t h e r .   J a c k   f i n d s   h i m s e l f   a   l o s t   s o u l   i n   t h e   m o d e r n   w o r l d ,   s e e k i n g   a n s w e r s   t o   t h e   o r i g i n s   a n d   m e a n i n g   o f   l i f e   w h i l e   q u e s t i o n i n g   t h e   e x i s t e n c e   o f   f a i t h . 2011",2011,6.5
Punisher: War Zone,"Action Crimebrokenneck fbiagent wallsafe trashedhouse aerialshot militarydressuniform vanity flare womandirectorW a g i n g   h i s   o n e - m a n   w a r   o n   t h e   w o r l d   o f   o r g a n i z e d   c r i m e ,   r u t h l e s s   v i g i l a n t e - h e r o   F r a n k   C a s t l e   s e t s   h i s   s i g h t s   o n   o v e r e a g e r   m o b   b o s s   B i l l y   R u s s o t i .   A f t e r   R u s s o t i   i s   l e f t   h o r r i b l y   d i s f i g u r e d   b y   C a s t l e ,   h e   s e t s   o u t   f o r   v e n g e a n c e   u n d e r   h i s   n e w   a l i a s :   J i g s a w .   W i t h   t h e   "" P u n i s h e r   T a s k   F o r c e ""   h o t   o n   h i s   t r a i l   a n d   t h e   F B I   u n a b l e   t o   t a k e   J i g s a w   i n ,   F r a n k   m u s t   s t a n d   u p   t o   t h e   f o r m i d a b l e   a r m y   t h a t   J i g s a w   h a s   r e c r u i t e d   b e f o r e   m o r e   o f   h i s   e v i l   d e e d s   g o   u n p u n i s h e d . 2008",2008,5.6
The Walk,Adventure Drama Thriller1970s skyscraper basedontruestory tightrope planning worldtradecenterT h e   s t o r y   o f   F r e n c h   h i g h - w i r e   a r t i s t   P h i l i p p e   P e t i t ' s   a t t e m p t   t o   c r o s s   t h e   T w i n   T o w e r s   o f   t h e   W o r l d   T r a d e   C e n t e r   i n   1 9 7 4 . 2015,2015,6.9
The Maze Runner,"Action Mystery ScienceFiction Thrillerbasedonnovel maze post-apocalyptic dystopia escape memoryloss erasedmemory trapped dystopicfuture runner basedonyoungadultnovelS e t   i n   a   p o s t - a p o c a l y p t i c   w o r l d ,   y o u n g   T h o m a s   i s   d e p o s i t e d   i n   a   c o m m u n i t y   o f   b o y s   a f t e r   h i s   m e m o r y   i s   e r a s e d ,   s o o n   l e a r n i n g   t h e y ' r e   a l l   t r a p p e d   i n   a   m a z e   t h a t   w i l l   r e q u i r e   h i m   t o   j o i n   f o r c e s   w i t h   f e l l o w   "" r u n n e r s ""   f o r   a   s h o t   a t   e s c a p e . 2014",2014,7.0
The Fountain,"Drama Adventure ScienceFiction Romancebraintumor operation queen loveofone'slife surgeon tree dyinganddeath transience immortality mayacivilization monkey conquestS p a n n i n g   o v e r   o n e   t h o u s a n d   y e a r s ,   a n d   t h r e e   p a r a l l e l   s t o r i e s ,   T h e   F o u n t a i n   i s   a   s t o r y   o f   l o v e ,   d e a t h ,   s p i r i t u a l i t y ,   a n d   t h e   f r a g i l i t y   o f   o u r   e x i s t e n c e   i n   t h i s   w o r l d . 2006",2006,6.8
Exit Wounds,"Action Crime Thrillercorruption scandal shadowing policeM a v e r i c k   c o p   O r i n   B o y d   a l w a y s   b r i n g s   d o w n   t h e   d o m e s t i c   t e r r o r i s t s   h e   t r a c k s ,   b u t   h e   r u f f l e s   f e a t h e r s   w i t h   h i s   u n o r t h o d o x   t e c h n i q u e s   - -   a n d   s o o n   f i n d s   h i m s e l f   r e a s s i g n e d   t o   t h e   t o u g h e s t   d i s t r i c t   i n   D e t r o i t .   W h e n   h e   d i s c o v e r s   a   g r o u p   o f   d e t e c t i v e s   s e c r e t l y   o p e r a t i n g   a   d r u g   r i n g ,   B o y d   j o i n s   f o r c e s   w i t h   a n   u n l i k e l y   a l l y   - -   g a n g s t e r   L a t r e l l   W a l k e r   - -   t o   b r i n g   d o w n   t h e   r o t t e n   c o p s . 2001",2001,5.3
Thunder and the House of Magic,"Family Fantasy Animation Adventuremagic 3dT h u n d e r ,   a n   a b a n d o n e d   y o u n g   c a t   s e e k i n g   s h e l t e r   f r o m   a   s t o r m ,   s t u m b l e s   i n t o   t h e   s t r a n g e s t   h o u s e   i m a g i n a b l e ,   o w n e d   b y   a n   o l d   m a g i c i a n   a n d   i n h a b i t e d   b y   a   d a z z l i n g   a r r a y   o f   a u t o m a t o n s   a n d   g i z m o s .   N o t   e v e r y o n e   w e l c o m e s   t h e   n e w   a d d i t i o n   t o   t h e   t r o u p e   a s   J a c k   R a b b i t   a n d   M a g g i e   M o u s e   p l o t   t o   e v i c t   T h u n d e r .   T h e   s i t u a t i o n   g e t s   w o r s e   w h e n   t h e   m a g i c i a n   l a n d s   i n   h o s p i t a l   a n d   h i s   s c h e m i n g   n e p h e w   s e e s   h i s   c h a n c e   t o   c a s h   i n   b y   s e l l i n g   t h e   m a n s i o n .   O u r   y o u n g   h e r o   i s   d e t e r m i n e d   t o   e a r n   h i s   p l a c e   a n d   s o   h e   e n l i s t s   t h e   h e l p   o f   s o m e   w a c k y   m a g i c i a n ' s   a s s i s t a n t s   t o   p r o t e c t   h i s   m a g i c a l   n e w   h o m e . 2013",2013,6.3
The Darkest Hour,"Horror Action Thriller ScienceFictionalieninvasion americanabroad moscow unlikelyheroes failedbusinessI n   M o s c o w ,   f i v e   y o u n g   p e o p l e   l e a d   t h e   c h a r g e   a g a i n s t   a n   a l i e n   r a c e   w h i c h   h a s   a t t a c k e d   E a r t h   v i a   o u r   p o w e r   s u p p l y . 2011",2011,4.8
The Punisher,"Action Crime Dramachain submachinegun undercover smuggling twinbrother marvelcomic onemanarmy massacre extremeviolence familyreunion pierW h e n   u n d e r c o v e r   F B I   a g e n t   F r a n k   C a s t l e ' s   w i f e   a n d   s o n   a r e   s l a u g h t e r e d ,   h e   b e c o m e s   ' t h e   P u n i s h e r '   - -   a   r u t h l e s s   v i g i l a n t e   w i l l i n g   t o   g o   t o   a n y   l e n g t h   t o   a v e n g e   h i s   f a m i l y . 2004",2004,6.1
Safe,"Action Crime ThrillerbrokentracheaA f t e r   a   f o r m e r   e l i t e   a g e n t   r e s c u e s   a   1 2 - y e a r - o l d   C h i n e s e   g i r l   w h o ' s   b e e n   a b d u c t e d ,   t h e y   f i n d   t h e m s e l v e s   i n   t h e   m i d d l e   o f   a   s t a n d o f f   b e t w e e n   T r i a d s ,   t h e   R u s s i a n   M a f i a   a n d   h i g h - l e v e l   c o r r u p t   N e w   Y o r k   C i t y   p o l i t i c i a n s   a n d   p o l i c e . 2012",2012,6.3
Return of the Jedi,"Adventure Action ScienceFictionrebel brothersisterrelationship emperor spacebattle matteroflifeanddeath spaceship deathstar jabbathehutt ewoks jedi spaceoperaA s   R e b e l   l e a d e r s   m a p   t h e i r   s t r a t e g y   f o r   a n   a l l - o u t   a t t a c k   o n   t h e   E m p e r o r ' s   n e w e r ,   b i g g e r   D e a t h   S t a r .   H a n   S o l o   r e m a i n s   f r o z e n   i n   t h e   c a v e r n o u s   d e s e r t   f o r t r e s s   o f   J a b b a   t h e   H u t t ,   t h e   m o s t   l o a t h s o m e   o u t l a w   i n   t h e   u n i v e r s e ,   w h o   i s   a l s o   k e e p i n g   P r i n c e s s   L e i a   a s   a   s l a v e   g i r l .   N o w   a   m a s t e r   o f   t h e   F o r c e ,   L u k e   S k y w a l k e r   r e s c u e s   h i s   f r i e n d s ,   b u t   h e   c a n n o t   b e c o m e   a   t r u e   J e d i   K n i g h t   u n t i l   h e   w a g e s   h i s   o w n   c r u c i a l   b a t t l e   a g a i n s t   D a r t h   V a d e r ,   w h o   h a s   s w o r n   t o   w i n   L u k e   o v e r   t o   t h e   d a r k   s i d e   o f   t h e   F o r c e . 1983",1983,7.9
Wanderlust,"Comedyhippie commune nudism nudeprotest aftercreditsstinger duringcreditsstingerR a t t l e d   b y   s u d d e n   u n e m p l o y m e n t ,   a   M a n h a t t a n   c o u p l e   s u r v e y s   a l t e r n a t i v e   l i v i n g   o p t i o n s ,   u l t i m a t e l y   d e c i d i n g   t o   e x p e r i m e n t   w i t h   l i v i n g   o n   a   r u r a l   c o m m u n e   w h e r e   f r e e   l o v e   r u l e s . 2012",2012,5.3
Nacho Libre,"Comedy Familynun sport orphanage ordensbruder ringer moneyN a c h o   L i b r e   i s   l o o s e l y   b a s e d   o n   t h e   s t o r y   o f   F r a y   T o r m e n t a   ( "" F r i a r   S t o r m "" ) ,   a k a   R e v .   S e r g i o   G u t i e r r e z   B e n i t e z ,   a   r e a l - l i f e   M e x i c a n   C a t h o l i c   p r i e s t   w h o   h a d   a   2 3 - y e a r   c a r e e r   a s   a   m a s k e d   l u c h a d o r .   H e   c o m p e t e d   i n   o r d e r   t o   s u p p o r t   t h e   o r p h a n a g e   h e   d i r e c t e d .   T h e   p r o d u c e r s   a r e   J a c k   B l a c k ,   D a v i d   K l a w a n s ,   J u l i a   P i s t o r ,   a n d   M i k e   W h i t e . 2006",2006,5.6
Bridesmaids,"Comedy Romancecompetition jealousy fight materialism bridesmaid femalefriendship fearofcommitment wealth motherdaughterrelationship weddingparty sexualhumor bestfriend maidofhonor drunk weddingdress groupoffriends casualsex vanity girlfight missingwoman outofcontrolA n n i e ’ s   l i f e   i s   a   m e s s .   B u t   w h e n   s h e   f i n d s   o u t   h e r   l i f e t i m e   b e s t   f r i e n d   i s   e n g a g e d ,   s h e   s i m p l y   m u s t   s e r v e   a s   L i l l i a n ’ s   m a i d   o f   h o n o r .   T h o u g h   l o v e l o r n   a n d   b r o k e ,   A n n i e   b l u f f s   h e r   w a y   t h r o u g h   t h e   e x p e n s i v e   a n d   b i z a r r e   r i t u a l s .   W i t h   o n e   c h a n c e   t o   g e t   i t   p e r f e c t ,   s h e ’ l l   s h o w   L i l l i a n   a n d   h e r   b r i d e s m a i d s   j u s t   h o w   f a r   y o u ’ l l   g o   f o r   s o m e o n e   y o u   l o v e . 2011",2011,6.5
This Is the End,"Action Comedyrape monster panic friendship celebrity satire party possession darkcomedy endoftheworld apocalypse drug demon self-referential actorW h i l e   a t t e n d i n g   a   p a r t y   a t   J a m e s   F r a n c o ' s   h o u s e ,   S e t h   R o g e n ,   J a y   B a r u c h e l   a n d   m a n y   o t h e r   c e l e b r i t i e s   a r e   f a c e d   w i t h   t h e   a p o c a l y p s e . 2013",2013,6.3
Takers,"Action Crime Drama ThrillerheistA   s e a s o n e d   t e a m   o f   b a n k   r o b b e r s ,   i n c l u d i n g   G o r d o n   J e n n i n g s   ( I d r i s   E l b a ) ,   J o h n   R a h w a y   ( P a u l   W a l k e r ) ,   A . J .   ( H a y d e n   C h r i s t e n s e n ) ,   a n d   b r o t h e r s   J a k e   ( M i c h a e l   E a l y )   a n d   J e s s e   A t t i c a   ( C h r i s   B r o w n )   s u c c e s s f u l l y   c o m p l e t e   t h e i r   l a t e s t   h e i s t   a n d   l e a d   a   l i f e   o f   l u x u r y   w h i l e   p l a n n i n g   t h e i r   n e x t   j o b .   W h e n   G h o s t   ( T i p   T . I .   H a r r i s ) ,   a   f o r m e r   m e m b e r   o f   t h e i r   t e a m ,   i s   r e l e a s e d   f r o m   p r i s o n   h e   c o n v i n c e s   t h e   g r o u p   t o   s t r i k e   a n   a r m o r e d   c a r   c a r r y i n g   $ 2 0   m i l l i o n .   A s   t h e   "" T a k e r s ""   c a r e f u l l y   p l o t   o u t   t h e i r   s t r a t e g y   a n d   d r a w   n e a r e r   t o   e x a c t i n g   t h e   g r a n d   h e i s t ,   a   r e c k l e s s   p o l i c e   o f f i c e r   ( M a t t   D i l l o n )   i n c h e s   c l o s e r   t o   a p p r e h e n d i n g   t h e   c r i m i n a l s . 2010",2010,6.0
